time,temp(D16),pH(A0),sensor(V)
00:00:02,30.6875,-111.08601,2.2073786
00:00:03,25.5625,-110.968732,2.2057672
00:00:04,25.5625,-110.99219,2.2060896
00:00:06,25.5625,-111.00392,2.2062506
00:00:07,25.625,-111.00392,2.2062506
00:00:09,25.5625,-110.98634,2.2060092
00:00:11,25.5625,-110.99806,2.20617
00:00:12,25.5625,-111.015656,2.2064118
00:00:13,25.5625,-111.03909,2.206734
00:00:15,25.5625,-111.027376,2.206573
00:00:16,25.5625,-111.03911,2.2067342
00:00:18,25.5625,-111.027376,2.206573
00:00:20,25.5625,-111.02736,2.2065728
00:00:21,25.625,-110.98045,2.2059284
00:00:23,25.6875,-110.99219,2.2060896
00:00:24,25.75,-110.96286,2.2056866
00:00:25,25.75,-110.98045,2.2059284
00:00:27,25.75,-110.94527,2.2054448
00:00:28,25.8125,-110.957,2.205606
00:00:30,25.875,-110.94527,2.2054448
00:00:32,25.9375,-110.91008,2.2049612
00:00:33,26.0,-110.97458,2.2058476
00:00:35,26.0625,-110.98633,2.206009
00:00:36,26.125,-110.93353,2.2052836
00:00:38,26.125,-110.93942,2.2053644
00:00:39,26.1875,-110.910092,2.2049616
00:00:41,26.1875,-110.89836,2.2048004
00:00:42,26.25,-110.88664,2.2046392
00:00:44,26.3125,-110.89836,2.2048004
00:00:45,26.375,-110.88664,2.2046392
00:00:46,26.4375,-110.83386,2.2039142
00:00:48,26.4375,-110.88077,2.2045586
00:00:49,26.5,-110.88077,2.2045586
00:00:51,26.5625,-110.83975,2.203995
00:00:53,26.625,-110.85733,2.2042364
00:00:54,26.625,-110.79283,2.2033504
00:00:56,26.6875,-110.81041,2.2035918
00:00:57,26.75,-110.798668,2.2034306
00:00:59,26.75,-110.81041,2.2035918
00:01:00,26.8125,-110.82216,2.2037532
00:01:02,26.8125,-110.763508,2.2029474
00:01:03,26.875,-110.72246,2.2023832
00:01:05,26.875,-110.745928,2.2027058
00:01:06,26.9375,-110.693144,2.2019806
00:01:08,27.0,-110.71074,2.2022224
00:01:10,27.0,-110.66382,2.2015776
00:01:11,27.0,-110.657976,2.2014972
00:01:13,27.125,-110.61105,2.2008526
00:01:14,27.125,-110.66968,2.2016582
00:01:15,27.1875,-110.6521,2.2014168
00:01:17,27.1875,-110.62865,2.2010944
00:01:18,27.1875,-110.640368,2.2012554
00:01:20,27.25,-110.581732,2.2004496
00:01:21,27.25,-110.59346,2.2006108
00:01:23,27.25,-110.63451,2.201175
00:01:24,27.3125,-110.63452,2.2011752
00:01:26,27.3125,-110.56415,2.2002082
00:01:28,27.3125,-110.57001,2.2002888
00:01:29,27.375,-110.58174,2.20045
00:01:31,27.375,-110.55826,2.2001274
00:01:32,27.4375,-110.54657,2.1999666
00:01:34,27.4375,-110.53482,2.1998052
00:01:35,27.4375,-110.56415,2.2002082
00:01:37,27.5,-110.47032,2.198919
00:01:38,27.5,-110.52896,2.1997246
00:01:40,27.5,-110.493776,2.1992412
00:01:41,27.5,-110.51723,2.1995636
00:01:43,27.5625,-110.49963,2.1993218
00:01:45,27.5625,-110.440992,2.1985162
00:01:46,27.5625,-110.49965,2.199322
00:01:47,27.625,-110.41754,2.1981938
00:01:49,27.625,-110.435132,2.1984356
00:01:50,27.6875,-110.41756,2.198194
00:01:52,27.625,-110.429272,2.198355
00:01:53,27.6875,-110.41168,2.1981132
00:01:55,27.6875,-110.394104,2.1978716
00:01:56,27.6875,-110.39407,2.1978714
00:01:58,27.6875,-110.36478,2.1974688
00:02:00,27.75,-110.37064,2.1975494
00:02:01,27.75,-110.29443,2.1965022
00:02:03,27.75,-110.30614,2.1966632
00:02:04,27.75,-110.31787,2.1968244
00:02:06,27.75,-110.31201,2.1967438
00:02:07,27.8125,-110.2827,2.196341
00:02:09,27.8125,-110.23578,2.1956964
00:02:10,27.8125,-110.24164,2.195777
00:02:12,27.8125,-110.224052,2.1955352
00:02:13,27.875,-110.30028,2.1965826
00:02:15,27.875,-110.23578,2.1956964
00:02:17,27.875,-110.183016,2.1949714
00:02:18,27.875,-110.183016,2.1949714
00:02:20,27.875,-110.25923,2.1960188
00:02:21,27.875,-110.19473,2.1951324
00:02:23,27.875,-110.19473,2.1951324
00:02:24,27.875,-110.17714,2.1948908
00:02:26,27.9375,-110.13023,2.1942464
00:02:27,27.9375,-110.20647,2.1952936
00:02:29,27.9375,-110.124376,2.1941656
00:02:30,27.9375,-110.16542,2.1947296
00:02:32,27.9375,-110.171292,2.1948104
00:02:34,27.9375,-110.14194,2.194407
00:02:35,27.9375,-110.10092,2.1938434
00:02:37,28.0,-110.08919,2.1936822
00:02:38,28.0,-110.11264,2.1940046
00:02:40,27.9375,-110.09505,2.1937628
00:02:41,28.0,-110.07745,2.193521
00:02:43,28.0,-110.05986,2.1932792
00:02:44,28.0,-110.05986,2.1932792
00:02:46,28.0,-110.071592,2.1934404
00:02:48,28.0625,-110.06572,2.1933598
00:02:49,28.0625,-110.054,2.1931988
00:02:51,28.0625,-110.03053,2.1928764
00:02:52,28.0625,-110.054,2.1931988
00:02:54,28.0625,-110.08334,2.1936018
00:02:55,28.0625,-110.02469,2.192796
00:02:57,28.125,-110.02469,2.192796
00:02:58,28.0625,-109.96019,2.1919098
00:03:00,28.0625,-109.98952,2.1923128
00:03:01,28.125,-109.9426,2.191668
00:03:03,28.125,-110.00122,2.1924736
00:03:05,28.125,-109.99536,2.192393
00:03:06,28.125,-109.9426,2.191668
00:03:08,28.1875,-109.9426,2.191668
00:03:09,28.125,-109.90741,2.1911846
00:03:11,28.125,-109.94844,2.1917484
00:03:12,28.125,-109.91913,2.1913456
00:03:14,28.125,-109.88394,2.1908622
00:03:15,28.125,-109.87224,2.1907012
00:03:17,28.125,-109.87224,2.1907012
